Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Character/FeiyapTank_SelectInfo,Text,,"수많은 세계의 파편 속에서, 그녀는 「검성」이 된 그 「비야씨」를 선택했다.
비야씨는 기예를 갈고닦아 마침내 정점에 오른 검사다. 어떤 무기든 그녀의 손에서는 예리한 칼날이 되어, 적의 사각에서 공격하고, 갑옷의 틈을 뚫고, 목을 벤다. 그러나 그녀가 정점에 이른 바로 그때, 시대도 격변했다——예전의 전장은 이제 번화한 시장이 되고, 과거의 적은 술잔을 나누는 벗이 되었다. 그리고 한때 가장 날카로웠던 칼날——무사——는 권력의 발아래 길드는 개가 되고 말았다.
지금의 비야씨는 비할 데 없는 기예를 가졌으면서도 「금도령」에 단단히 묶여 있다. 그녀의 피는 누군가 먼저 시비를 걸어 「정당방위」로 벨 구실을 갈구한다. 그러나 그런 기회는 드물고, 기나긴 평화 속에서 그녀의 정신은 점차 광기로 물들어 간다——

——마침내, 수많은 세계의 파편 속 한 순간, 「또 다른 가능성」을 받아들인 「비야씨」의 모습이 스쳐 지나간다.","Among countless shattered fragments of worlds, she chose to become the 'Feiyap' who is a Blade Master.
Feiyap is a swordswoman who honed her skills and finally reached the pinnacle. Any weapon in her hands becomes a sharp blade, attacking from the enemy's blind spots, piercing through armor gaps, and severing throats. However, just as she reached the peak, the era underwent a dramatic change—the battlefields of the past are now bustling markets, and former enemies are now drinking buddies. And the once-sharpest blade—the samurai—has been reduced to a dog under the steps of power.
Now, Feiyap, despite her unparalleled skills, is tightly bound by the 'Sword Ban'. Her blood thirsts for someone to pick a fight, giving her a 'justifiable defense' to cut them down. But such opportunities are rare, and her spirit gradually descends into madness amidst the long peace—

—Finally, within the countless shattered fragments of worlds, a glimpse reveals a 'Feiyap' who might have embraced 'Another Possibility'.","無数に砕け散った世界の破片の中から、「剣聖」となったあの「緋夜氏」を選び取った。
緋夜氏は技を磨き上げ、ついに極致へ至った剣客である。いかなる武器も彼女の手にあっては鋭い刃となり、敵の死角から襲い、鎧の隙間を穿ち、喉を断つ。だが、彼女が頂に達したまさにその時、時代もまた激変した——かつての戦場は今や賑わう市場となり、かつての敵は酒を酌み交わす友となった。そしてかつて最も鋭かった刃——武士——は、権力の階下に落ちた鷹犬と化した。
今の緋夜氏は、無双の技を持ちながらも「禁刀令」に固く縛られている。彼女の血は、誰かが先に仕掛け、「正当防衛」の名目で斬り伏せることを渇望する。だが、そのような機会は滅多になく、長い平和の中で彼女の意志は徐々に狂気へと沈んでいく——

——ついに、無数に砕けた世界の破片の中での一瞥において、「もう一つの可能性」を帯びた「緋夜氏」を垣間見るかのようだった。","于万千碎裂的世界破片中，选择成为了「剑圣」的那一个“绯夜氏”。
绯夜氏是精进磨炼技艺、终于抵达登峰造极境界的剑客。任何武器在她手中都会变为锐利的锋刃，从敌人的死角发起攻击、击穿盔甲的缝隙、割断敌人的咽喉。然而，在她抵达顶峰的同时，时代也发生了剧变——曾经的战场如今变为熙攘的集市，曾经的敌人如今变为谈酒的密友。而曾经最锐利的刀锋——武士，也沦落为了阶下鹰犬罢了。
如今的绯夜氏，空有一身技艺，却被“禁刀令”死死束缚。她的血液在渴求着有人主动挑事，便有“正当防卫”的理由将其斩杀。然而，这种机会总是不多得，她的意志在漫长的和平中逐渐癫狂——

——终于，于万千碎裂的世界破片中的一瞥，似乎得以窥见“另一种可能性”的“绯夜氏”。",
Character/FeiyapTank_Text_Battle_Cri_0,Text,,전투는 내 검 아래에서 끝난다!,The battle ends under my blade!,戦いは我が剣の下で終わる！,战斗就在我之剑下终结！,
Character/FeiyapTank_Text_Battle_Cri_1,Text,,"일격, 양단!","One slash, cleave in two!",一刀、両断！,一刀、两断！,
Character/FeiyapTank_Text_Battle_Idle_0,Text,,"「평화」라는 이름의 칼집에서, 이 칼을 뽑게 해 주셔서 감사합니다.","From the scabbard named 'peace,' thank you for letting me draw this blade.",平和という名の鞘から、この刀を抜かせてくださり感謝します。,自名为和平的剑鞘中，感谢您让我拔出此刀。,
Character/FeiyapTank_Text_Battle_Idle_1,Text,,"백날을 쥐었기에, 비로소 절사어면이 가능하다.","Because I hold a naked blade, I can execute free slash and grace.",白刃を握るがゆえに、切捨御免をなし得る。,正因手持白刃，方可切舍御免。,
Character/FeiyapTank_Text_Battle_Kill_0,Text,,이미 베었다.,Already severed.,すでに斬った。,已经斩下。,
Character/FeiyapTank_Text_Battle_ND_0,Text,,"감복이오, 감복……","Admirable, admirable...",感服、感服……,佩服、佩服……,
Character/FeiyapTank_Text_Battle_Start_0,Text,,"전장이여, 그리운 고향이군.","The battlefield, ah, such a nostalgic hometown.",戦場よ、懐かしき故郷よ。,战场啊，真是令人怀念的故乡。,
Character/FeiyapTank_Text_Field_Idle_0,Text,,"산다는 것은, 벨 것을 찾는 일이다.",Living means seeking something to kill.,生きるとは、斬るべきものを探すこと。,所谓活着，就是寻获得以斩杀之事。,
Character/FeiyapTank_Text_MasterTarget,Text,,"죽음은 두렵지 않다. 서늘한 여름밤처럼, 걱정 없이 잠들 수 있는 곳이다.","Death is not fearsome; it is a cool summer night, where one can rest without worry.",死は恐ろしくない。涼しい夏の夜、憂いなく眠れる場所だ。,死不可怕，死是凉爽的夏夜，可供人无忧地安眠。,
Character/FeiyapTank_Text_PharosLeader_0,Text,,전장은 어디인가?! 여기가 바로 전장이다!,Where is the battlefield?! Here is the battlefield!,戦場はどこだ？！ここが戦場だ！,何处是战场？！此处即是战场！,
Character/FeiyapTank_Text_PharosLeader_1,Text,,"옛날이, 눈앞에 되풀이되는구나……","The days of old, unfolding before my eyes...",往時が、眼前に繰り返される……,往昔的时光，竟然重复眼前……,
Character/FeiyapTank_Text_PharosLeader_2,Text,,"적장의 목, 내가 취했다!","The enemy general's head, I have claimed it!",敵将の首、討ち取ったり！,敌将之头颅，已被我斩获！,
Character/FeiyapTank_Text_Witch_0,Text,,지극히 지루하군……,Utterly boring...,退屈極まりない……,无聊至极……,
Character/FeiyapTank_Text_Witch_1,Text,,무엇이 두렵단 말이냐?!,What is there to fear?!,何を恐れるというのか？！,有何惧哉？！,
Character/FeiyapTank_name,Text,,검성·비야씨,Master Feiyap,剣聖・緋夜氏,剑圣·绯夜氏,
Enemy/Boss_FeiyapMage_EnemyStory,Text,,"수많은 세계의 파편 속에서, 그녀는 마녀가 된 그 「비야씨」를 선택했다.
「희소마녀」라 불리는 그녀는, 세상의 모든 것을 마음대로 주무르고 가지고 놀며 즐긴다. 무수한 차원을 건너고, 헤아릴 수 없는 시간을 허비하며, 온갖 기술과 마법을 궁구한 끝에, 마침내 그녀는 싫증을 느꼈다.
「내 힘을 봉인하고, 처음부터 다시 시작해 볼까?」
그렇게, 마녀는 호기심 어린 눈으로 전례 없는 길에 발을 내디뎠다.","Among countless shattered fragments of worlds, she chose to become the 'Feiyap' who is a Mage.
Called the 'Giggling Witch', she arbitrarily manipulates and toys with everything in the world for her amusement. After crossing countless planes, wasting immeasurable time, and mastering various techniques and magics, she finally grew tired.
'How about sealing my power and starting over from scratch?'
And so, the witch set foot on an unprecedented path with curious eyes.","無数に砕け散った世界の破片の中から、魔女となったあの「緋夜氏」を選び取った。
「嬉笑魔女」と呼ばれる彼女は、世のあらゆるものを恣意に操り弄び、それを愉しむ。無数の次元を越え、計り知れぬ時を費やし、あらゆる技術と魔法を究めた末に、ついに彼女は飽きを覚えた。
「いっそ力を封印して、初めからやり直してみようか？」
こうして、魔女は好奇の眼差しでかつてない道へと足を踏み入れた。","于万千碎裂的世界破片中，选择成为了魔女的那一个“绯夜氏”。
被称作“嬉笑魔女”的她，肆意操纵和玩弄着世间的一切，并以此取乐。跨越无数位面，浪费掉无数时间，穷究了各种各样的技术和魔法后，于是，她终于感到厌倦。
「不如把我的力量封印，从头再开始吧？」
就这样，魔女以好奇的目光踏上了前所未有的道路。",
Enemy/Boss_FeiyapMage_SubName,Text,,희소마녀,Giggling Witch,嬉笑魔女,嬉笑魔女,
Enemy/Boss_FeiyapMage_name,Text,,희소마녀,Giggling Witch,嬉笑魔女,嬉笑魔女,
Item_Equip/E_Boss_FeiyapMage_0_Description,Text,,"조사단이 공격 스킬과 치유 스킬을 순서대로 번갈아 사용할 때마다 카운트가 증가합니다. 합계 33회 후, 이 장비는 「광소마녀의 가면」으로 강화됩니다.
현재 횟수: &a","The investigation team increases the count by alternately using attack and healing skills in sequence. After a total of 33 times, this equipment upgrades to 'Mask of the Cackling Witch'.
Current Count: &a","調査団が攻撃スキルと回復スキルを順に交互に使用するたびカウントが増加する。合計33回で、この装備は「狂笑魔女の仮面」に強化される。
現在の回数：&a","调查团按顺序交替使用攻击技能和治疗技能时增加计数。合计33次后，该装备升级为“狂笑魔女的面具”。
当前次数：&a",
Item_Equip/E_Boss_FeiyapMage_0_name,Text,,희소마녀의 가면,Mask of the Giggling Witch,嬉笑魔女の仮面,嬉笑魔女的面具,
Item_Equip/E_Boss_FeiyapMage_1_Description,Text,,"턴마다 1회, 자신의 공격 스킬을 사용할 때 손의 무작위 치유 스킬 비용이 1 감소합니다.
턴마다 1회, 자신의 치유 스킬을 사용할 때 손의 무작위 공격 스킬 비용이 1 감소합니다.","Once per turn, when using your own attack skill, reduce the cost of a random healing skill in hand by 1.
Once per turn, when using your own healing skill, reduce the cost of a random attack skill in hand by 1.","各ターン1回、自身の攻撃スキル使用時、手札のランダムな回復スキルのコストが1減少する。
各ターン1回、自身の回復スキル使用時、手札のランダムな攻撃スキルのコストが1減少する。","每回合 1 次，使用自己的攻击技能时，手中随机治疗技能费用降低 1 点。
每回合 1 次，使用自己的治疗技能时，手中随机攻击技能费用降低 1 点。",
Item_Equip/E_Boss_FeiyapMage_1_name,Text,,광소마녀의 가면,Mask of the Cackling Witch,狂笑魔女の仮面,狂笑魔女的面具,
Item_Equip/E_FeiyapTank_0_Description,Text,,"체력이 1 미만일 때, 이 장비의 능력이 200% 증가합니다.","When HP is below 1, this equipment's stats increase by 200%.",体力値が1未満のとき、この装備のステータスが200%上昇する。,体力值低于 1 时，这件装备的属性提升200%。,
Item_Equip/E_FeiyapTank_0_name,Text,,무명의 칼날,Nameless Blade,無銘刃,无铭刃,
Item_Passive/R_Boss_FeiyapMage_0_Description,Text,,"공격 스킬 사용 후, 다음 스킬의 치유량이 33% 증가합니다.
치유 스킬 사용 후, 다음 스킬의 피해량이 33% 증가합니다.","After using an attack skill, increase the healing amount of the next skill by 33%.
After using a healing skill, increase the damage amount of the next skill by 33%.","攻撃スキル使用後、次のスキルの回復量が33%増加する。
回復スキル使用後、次のスキルのダメージ量が33%増加する。","使用攻击技能后，下 1 个技能的治疗量提升33%。
使用治疗技能后，下 1 个技能的伤害量提升33%。",
Item_Passive/R_Boss_FeiyapMage_0_name,Text,,희소마녀의 박애,Giggling Witch's Universal Love,嬉笑魔女の博愛,嬉笑魔女的博爱,
RandomEvent/RE_FeiyapMage_0_Desc,Text,,"눈앞의 풍경이 빠르게 바뀐다. 숲에서, 바다에서, 우주에서, 잠든 자의 꿈에서——
눈에 닿는 모든 즐거움을 집어삼키고도, 여전히 만족하지 못한다.
그리하여, 즐거움을 쫓는 자 자신이 영원한 악몽이 되었다.
그리고 너는, 그녀의 다음 양분이 될 것이다.","The scenery before my eyes shifts rapidly, from forests, from seas, from the universe, from the dreams of sleepers—
After devouring all the pleasures within sight, still unsatisfied.
Thus, the seeker of fun becomes an eternal nightmare.
And you will become her next nourishment.","眼前の景色がめまぐるしく移り変わる。森から、海から、宇宙から、眠る者の夢から——
目に映るあらゆる愉しみを食い尽くしても、なお満ち足りない。
かくして、愉しみを追う者そのものが永遠の悪夢となった。
そしてお前は、彼女の次なる糧となるだろう。","眼前的景色飞速变换着，从森林，从大海，从宇宙，从沉眠者的梦——
吞噬掉目所能及的所有的一切的乐趣之后，仍旧不知满足。
于是，追寻乐趣者其自身成为了永恒的梦魇。
而你，将成为她的下一份养料。",
RandomEvent/RE_FeiyapMage_0_EventDetails,Text,,"눈앞의 풍경이 빠르게 바뀐다. 숲에서, 바다에서, 우주에서, 잠든 자의 꿈에서——
눈에 닿는 모든 즐거움을 집어삼키고도, 여전히 만족하지 못한다.
그리하여, 즐거움을 쫓는 자 자신이 영원한 악몽이 되었다.
그리고 너는, 그녀의 다음 양분이 될 것이다.","The scenery before my eyes shifts rapidly, from forests, from seas, from the universe, from the dreams of sleepers—
After devouring all the pleasures within sight, still unsatisfied.
Thus, the seeker of fun becomes an eternal nightmare.
And you will become her next nourishment.","眼前の景色がめまぐるしく移り変わる。森から、海から、宇宙から、眠る者の夢から——
目に映るあらゆる愉しみを食い尽くしても、なお満ち足りない。
かくして、愉しみを追う者そのものが永遠の悪夢となった。
そしてお前は、彼女の次なる糧となるだろう。","眼前的景色飞速变换着，从森林，从大海，从宇宙，从沉眠者的梦——
吞噬掉目所能及的所有的一切的乐趣之后，仍旧不知满足。
于是，追寻乐趣者其自身成为了永恒的梦魇。
而你，将成为她的下一份养料。",
RandomEvent/RE_FeiyapMage_0_Name,Text,,즐거움을 쫓는 자의 악몽,Nightmare of the Fun Seeker,愉しみを追う者の悪夢,追寻乐趣者的噩梦,
RandomEvent/RE_FeiyapMage_0_OrderStrings_0,Text,,"웃음과 조롱 사이로, 마녀의 모습이 흔들리며 사라진다.","Amidst laughter and taunts, the witch's figure wavers and vanishes.",嬉笑怒罵の間に、魔女の姿は揺らめき消える。,嬉笑怒骂间，魔女的身影飘摇不见。,
RandomEvent/RE_FeiyapMage_0_UseButtonTooltip_0,Text,,이벤트 보스 「희소마녀」와 전투합니다.,"Face the event Boss ""Giggling Witch"".",イベントボス「嬉笑魔女」と戦う。,迎战事件Boss“嬉笑魔女”。,
RandomEvent/RE_FeiyapMage_0_UseButton_0,Text,,그녀와 싸운다!,Fight her!,一戦交える！,与其一战！,
Skill/S_Boss_FeiyapMage_0_Description,Text,,현재 턴 수만큼 반복 시전합니다.,"Repeat cast, number of times equals current turn count.",現在のターン数と同じ回数、繰り返し発動する。,重复释放，次数等同于当前回合数。,
Skill/S_Boss_FeiyapMage_0_Name,Text,,매직 미사일,Magic Missile,マジックミサイル,魔法飞弹,
Skill/S_Boss_FeiyapMage_1_Name,Text,,타샤의 흉측한 웃음,Tasha's Hideous Laughter,ターシャの醜悪な笑い,塔莎狂笑术,
Skill/S_Boss_FeiyapMage_2_Name,Text,,회복술,Healing Spell,回復術,恢复术,
Skill/S_Boss_FeiyapMage_3_Description,Text,,,,,,
Skill/S_Boss_FeiyapMage_3_Name,Text,,시간 비상,Time Skip,時間飛躍,时间飞跃,
Skill/S_FeiyapTank_0_Description,Text,,"무작위 적 1명에게 추가로 조준합니다.
거합 - 카운트다운 3으로 무작위 적에게 이 스킬을 시전합니다.","Attack an additional enemy randomly.
Iaido - Cast this skill on a random enemy with Countdown 3.","ランダムな敵1体にも同時に指向する。
居合 - カウントダウン3でランダムな敵にこのスキルを発動する。","同时指向 1 个随机敌人。
居合 - 以倒计时3对随机敌人释放。",
Skill/S_FeiyapTank_0_Name,Text,,농영,Hazy Shadow,朧影,胧影,
Skill/S_FeiyapTank_1_Description,Text,,거합 - 카운트다운 2로 무작위 적에게 이 스킬을 시전합니다.,Iaido - Cast this skill on a random enemy with Countdown 2.,居合 - カウントダウン2でランダムな敵にこのスキルを発動する。,居合 - 以倒计时2对随机敌人释放。,
Skill/S_FeiyapTank_1_Name,Text,,이군별무,Dancing Alone,離群別舞,离群别舞,
Skill/S_FeiyapTank_2_Description,Text,,"시전 시, 모든 조사관이 잃은 체력 1마다 이 스킬의 피해가 2% 증가합니다.
거합 - 자신이 <color=green>착신</color>을 2중첩 획득합니다.","For every 1 HP lost by all investigators, this skill's damage increases by 2%.
Iaido - Gains 2 stacks of <color=green>Passing By</color>.","発動時、全調査員が失った体力値1につき、このスキルのダメージが2%増加する。
居合 - 自身が<color=green>錯身</color>を2層獲得する。","释放时，所有调查员每失去 1 体力值，这个技能的伤害增加2%。
居合 - 自身获得 2 层<color=green>错身</color>。",
Skill/S_FeiyapTank_2_Name,Text,,삭풍절,Cutting Wind,朔風切,朔风切,
Skill/S_FeiyapTank_3_Description,Text,,"손에 들고 있는 동안, 아군이 피해를 입을 때마다 이 스킬의 비용이 1 감소합니다.
거합 - 모든 적에게 <sprite=2><color=yellow>격노!</color>를 부여합니다.","Cost reduced by 1 if an ally takes damage while this skill is in hand.
Iaido - Applies <sprite=2><color=yellow>Taunted!</color> to all enemies.","手札にある間、味方がダメージを受けるたび、このスキルのコストが1減少する。
居合 - 全ての敵に<sprite=2><color=yellow>発怒！</color>を付与する。","握在手中时，每当队友受到伤害，这个技能的费用降低 1 点。
居合 - 对所有敌人施加<sprite=2><color=yellow>发怒！</color>。",
Skill/S_FeiyapTank_3_Name,Text,,아마사츠키,Amasatsuki,天五月,天五月,
Skill/S_FeiyapTank_4_Description,Text,,거합 - 모든 적에게 <sprite=1><color=purple>곡혈</color>을 부여합니다.,Iaido - Applies <sprite=1><color=purple>Crying Blood</color> to all enemies.,居合 - 全ての敵に<sprite=1><color=purple>哭血</color>を付与する。,居合 - 对所有敌人施加<sprite=1><color=purple>哭血</color>。,
Skill/S_FeiyapTank_4_Name,Text,,곡혈,Crying Blood,哭血,哭血,
Skill/S_FeiyapTank_5_Description,Text,,"시전 시, 자신의 치유 게이지를 회복합니다.",Restore healing gauge.,発動時、自身の回復ゲージを回復する。,释放时，恢复自己的体力极限。,
Skill/S_FeiyapTank_5_Name,Text,,결별,Farewell,訣別,诀别,
Skill/S_FeiyapTank_6_0_Description,Text,,,,,,
Skill/S_FeiyapTank_6_0_Name,Text,,참립결,Immediate Execution,斬立決,斩立决,
Skill/S_FeiyapTank_6_Description,Text,,대상 스킬을 버립니다. 우선적으로 자신의 스킬 2장을 뽑습니다.,"Discard target skill. Draw 2 skills from the deck, prioritizing the user's skills.",対象スキルを捨てる。優先して自身のスキルを2枚引く。,丢弃目标技能。优先抽取 2 个自己的技能。,
Skill/S_FeiyapTank_6_Name,Text,,단사리,Severance,断捨離,断舍离,
Skill/S_FeiyapTank_7_Description,Text,,대상 스킬을 버립니다. 대기 횟수 1회와 교환 횟수 1회를 획득합니다.,Discard target skill. Gain 1 Standby and 1 Exchange.,対象スキルを捨てる。待機回数1と交換回数1を得る。,丢弃目标技能。获得 1 次等待次数和 1 次交换次数。,
Skill/S_FeiyapTank_7_Name,Text,,답영보,Shadow Step,踏影歩,踏影步,
Skill/S_FeiyapTank_LucyD_Description,Text,,"스킬을 3장 뽑습니다.
대상 아군에게 <color=purple>고통 피해 12</color>를 줍니다.
대상 아군이 이 스킬의 피해로 빈사 상태가 되면, 마나를 2 회복합니다.","Draw 3 skills.
Deal <color=purple>12 Pain Damage</color> to target.
If the ally reached <b>Death's Door</b> due to the damage, recover 2 Mana.","スキルを3枚引く。
対象の味方に<color=purple>苦痛ダメージ12</color>を与える。
対象の味方がこのスキルのダメージで瀕死状態になった場合、マナを2回復する。","抽取 3 个技能。
对目标友军造成<color=purple> 12 点痛苦伤害</color>。
若目标友军因此技能的伤害进入濒死状态，恢复 2 点法力值。",
Skill/S_FeiyapTank_LucyD_Name,Text,,귀환 없는 여정,Journey of No Return,帰還なき旅路,无归的旅途,
Skill/S_FeiyapTank_Rare_1_Description,Text,,,,,,
Skill/S_FeiyapTank_Rare_1_Name,Text,,한때 자색이었던 비,The Rain Formerly Known as Purple,かつて紫なりし雨,雨曾为紫,
Skill/S_FeiyapTank_Rare_2_Description,Text,,"자신의 체력이 1 미만일 때만 사용할 수 있습니다.
추가로 &a 피해를 줍니다([1-현재 체력]² x 공격력 x 1%).","Can only cast when HP is below 1.
Deals an additional &a damage ([1 - current HP]² x Attack Power x 1%).","自身の体力値が1未満のときのみ使用できる。
追加で&aダメージを与える（[1-現在体力値]² × 攻撃力 × 1%）。","自身体力值低于 1 时才可使用。
额外造成 &a 伤害([1-当前体力值]² x 攻击力 x 1%)。",
Skill/S_FeiyapTank_Rare_2_Name,Text,,비앵옥화락,Crimson Cherry Blossom Fall,緋桜獄華落,绯樱狱华落,
Skill/S_FeiyapTank_Rare_3_Description,Text,,자신과 대상의 치유 게이지를 회복합니다.,Restore healing gauge of self and target.,自身と対象の回復ゲージを回復する。,恢复自己和目标的体力极限。,
Skill/S_FeiyapTank_Rare_3_Name,Text,,비와 밤의 무희,Dancer of Rain and Night,雨と夜の踊り手,雨与夜的舞者,
SkillExtended/SE_B_R_Boss_FeiyapMage_0_Name,Text,,치유량 33% 증가,Healing amount increased by 33%,回復量が33%増加,治疗量提升33%,
SkillExtended/SE_B_R_Boss_FeiyapMage_1_Name,Text,,피해량 33% 증가,Damage amount increased by 33%,ダメージ量が33%増加,伤害量提升33%,
SkillExtended/SE_FeiyapTank_C_1_EnforceString,Text,,,,,,
