Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Skill/S_HatsuneMiku_14Rare_Description,Text,,,"No effect. When this skill in hand:
At the end of turn, place 2 stacks of ""The Future Voice"" to all party members.
Rhythm 3: Place 2 additional stacks.
Rhythm 9: Deal stacks of ""The Future Voice"" * &a damage to all enemies.",,"使用时没有效果。只要这张卡在手中：
每个回合结束时，为所有队友赋予2层[未来之音]。
音律3：额外赋予2层[未来之音]。
音律9：对所有敌人造成自己[未来之音]层数*&a的伤害。",
Skill/S_HatsuneMiku_14Rare_Name,Text,,,World Is Mine,,ワールドイズマイン,
Skill/S_HatsuneMiku_1_Description,Text,,,"Heal the ally with the lowest health  by &a, place 1 stack of ""The Future Voice"" to target.
Rhythm 3: Overheal self by &b, place 1 stack of ""The Future Voice"" to self.
Rhythm 9: Recast it to random enemy.",,"为己方HP最低的角色治疗&a，施加1层[未来之音]。
音律3：超额治疗自己&b，为自己施加1层[未来之音]。
音律9：对随机敌人再次释放一次。",
Skill/S_HatsuneMiku_1_Name,Text,,,ロミオトシンデレラ,,ロミオトシンデレラ,
Skill/S_HatsuneMiku_2_Description,Text,,,"Increase this skill's Critical Chance by 10% for every stacks of ""The Future Voice"" on Hatsune Miku. additional Crit Chance: &a
Rhythm 3: Deal &b additional damage.
Rhythm 9: Put this skill back to hand.",,"自己身上每有1层[未来之音]，暴击率提升10%。额外暴击率：&a
音律3：自己身上每有2层[未来之音]，额外造成1伤害。额外伤害：&b
音律9：将这张卡放回手卡中。",
Skill/S_HatsuneMiku_2_Name,Text,,,砂の惑星,,砂の惑星,
Skill/S_HatsuneMiku_3_Description,Text,,,"When cast on an enemy, place 2 stacks of ""The Future Voice"" to self.
Rhythm 3: Deal &a additional damage.
Rhythm 9: Recast it.",,"每命中1个敌人，为自己施加2层[未来之音]。
音律3：额外造成&a伤害。
音律9：再次释放一次。",
Skill/S_HatsuneMiku_3_Name,Text,,,千本桜,,千本桜,
Skill/S_HatsuneMiku_4_Description,Text,,,"Place 2 stacks of ""The Future Voice"" to target.
Intensity 4: Give &a barrier to target.",,音弦4：赋予目标&a保护罩。,
Skill/S_HatsuneMiku_4_Name,Text,,,こっち向いて Baby,,こっち向いて Baby,
Skill/S_HatsuneMiku_5_Description,Text,,,"Place 2 stacks of ""The Future Voice"" to target.
Place 1 stack of ""恋は戦争"" to all party members.
Intensity 4: Place 1 additional stack of ""恋は戦争"".",,音弦2：额外施加1层[恋は戦争]。,
Skill/S_HatsuneMiku_5_Name,Text,,,恋は戦争,,恋は戦争,
Skill/S_HatsuneMiku_6_Name,Text,,,ヴァンパイア,,ヴァンパイア,
Skill/S_HatsuneMiku_7_Name,Text,,,太陽系デスコ,,太陽系デスコ,
Skill/S_HatsuneMiku_8_Description,Text,,,"View the discard pile, and select one skill to add to your hand, place same as skill's AP stacks of ""The Futre Voice"" to self.
Rhythm 3: Skill's AP - 1.
Rhythm 9: Skill's AP - 10.",,"从弃牌堆将1个技能加入手卡。自己获得AP相同数字层数的[未来之音]。
音律3：使那个技能AP-1。
音律9：使那个技能AP-10。",
Skill/S_HatsuneMiku_8_Name,Text,,,深海少女,,深海少女,
Skill/S_HatsuneMiku_9_Description,Text,,,"Overheal by stacks of ""The Future Voice"" on target.
Grants healing gauge protection to target for 2 turns.",,超额恢复等量与目标身上[未来之音]层数的数值。,
Skill/S_HatsuneMiku_9_Name,Text,,,あなたの歌姬,,あなたの歌姬,
Skill/S_HatsuneMiku_LucyD_Description,Text,,,"Draw 1.
Create 2 ""Scallion"" in hand.",,抽取1个技能。将2个[大葱]加入手卡。,
Skill/S_HatsuneMiku_LucyD_Name,Text,,,Ievan Polkka,,Ievan Polkka,
Skill/S_HatsuneMiku_P_Description,Text,,,"Draw 1.
Place 2 stacks of ""The Future Voice"" to target.",,"抽取1个技能。
音弦1：额外赋予1层[未来之音]。",
Skill/S_HatsuneMiku_P_Name,Text,,,Scallion,,大葱,
