Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
Skill/S_Ralmia_3_Name,Text,,빛의 아티팩트,Radiant Artifact,レディアントアーティファクト,绚烂的创造物,绚烂的创造物
Skill/S_Ralmia_4_Description,Text,,,,,,
Skill/S_Ralmia_4_Name,Text,,기계 해방,Augmentation Bestowal,機構の解放,机械的解放,机械的解放
Skill/S_Ralmia_5_Description,Text,,,,,,
Skill/S_Ralmia_5_Name,Text,,가속 장치,Acceleratium,加速装置,加速装置,加速装置
Skill/S_Ralmia_6_Description,Text,,"손에서 아티팩트 스킬 하나를 선택하여 비용을 1 감소시키고,같은 이름의 카드 3장을 덱에 생성합니다.","Subtract 1 from the cost of an Artifact skill in your hand.
Put 3 copies of that Artifact skill into your deck.","手札のアーティファクト·スキル1枚のコストを-1する。
そのアーティファクト·スキルと同名のカード3枚をデッキに加える。","只能选择<color=#97FFFF>创造物</color>技能。
使其费用减少1点，生成3张附带放逐的复制到牌库中。","只能选择<color=#97FFFF>创造物</color>技能。
使其费用减少1点，生成3张附带放逐的复制到牌库中。"
Skill/S_Ralmia_6_Name,Text,,생명 양산,Biofabrication,生命の量産,生命量产,生命量产
Skill/S_Ralmia_7_Description,Text,,"아티팩트를 우선으로 2개  뽑습니다.

뽑은 아티팩트가 아닌 스킬 하나당 마나를 1 회복합니다.","Draw 2 skills from the deck, prioritizing the Artifact skills.
Each skill without 'Artifact' recovers 1 Mana.","自分のアーティファクト·スキルを優先的に2個引く。
アーティファクト·スキルを1枚少なくするごとに、マナを1回復し。","优先抽取2个<color=#97FFFF>创造物</color>技能。
每少抽取1个<color=#97FFFF>创造物</color>技能，回复1点费用。","优先抽取2个<color=#97FFFF>创造物</color>技能。
每少抽取1个<color=#97FFFF>创造物</color>技能，回复1点费用。"
Skill/S_Ralmia_7_Name,Text,,아티팩트 콜,Artifact Call,アーティファクトコール,创造物的呼唤,创造物的呼唤
Skill/S_Ralmia_8_Description,Text,,"2개 선택
-분석의 아티팩트
-고대의 아티팩트
-신비의 아티팩트
-빛의 아티팩트

선택한 스킬의 제외를 부여한 복사본을 2장씩 덱에 생성합니다.","Choose: Put 2 copies of 2 of the following cards into your deck. The skills gain Exclude.
-Analyzing Artifact
-Ancient Artifact
-Mystic Artifact
-Radiant Artifact","·アナライズアーティファクト
·エンシェントアーティファクト
·ミスティックアーティファクト
·レディアントアーティファクト
2枚チョイスして、チョイスしたカードを2枚ずつ、デッキに加える。そのスキルに除外を与える。",选择 - 从[解析的创造物] [古老的创造物] [神秘的创造物] [绚烂的创造物] 选择2种，各生成2张附带放逐的技能到牌库中。,选择 - 从[解析的创造物] [古老的创造物] [神秘的创造物] [绚烂的创造物] 选择2种，各生成2张附带放逐的技能到牌库中。
Skill/S_Ralmia_8_Name,Text,,자동 장치,Mechanization,オートメーション,自动化,自动化
Skill/S_Ralmia_9_0_Description,Text,,"손에 있을 때,아티팩트를 사용할 때마다 비용이 1 감소합니다.

선택
-방어의 아티팩트
-척결의 아티팩트
-공습의 아티팩트

선택한 스킬을  사용합니다.","Whenever an allied Artifact follower is played, subtract 1 from the cost of this card.
----------
Choose: 'Airstrike Artifact' or 'Barrier Artifact' or 'Keenedge Artifact'.","自分のアーティファクト·フォロワーが使用されるたび、自分の手札のこのコストを-1する。
---------- 
·プロテクトアーティファクト
·エッジアーティファクト
·ブリッツアーティファクト
チョイスしたスキル1個を使用された。","握在手上时，每打出1张<color=#97FFFF>创造物</color>技能，减少1点费用。
选择 - 从[守御的创造物] [锋锐的创造物] [迅袭的创造物] 中选1张打出。","握在手上时，每打出1张<color=#97FFFF>创造物</color>技能，减少1点费用。
选择 - 从[守御的创造物] [锋锐的创造物] [迅袭的创造物] 中选1张打出。"
Skill/S_Ralmia_9_0_Name,Text,,패러다임 전환,Paradigm Shift,パラダイムシフト,典范转移,典范转移
Skill/S_Ralmia_9_1_Description,Text,,앨리트 및 보스가 아닌 적을 즉시 처치합니다.,"If the target is not boss, <b>reduce the target's health to 0</b>.",ターゲットがボスでないの場合、ターゲットの体力を<b>0にする</b>。,秒杀非精英和BOSS单位。,秒杀非精英和BOSS单位。
Skill/S_Ralmia_9_1_Name,Text,,방어의 아티팩트,Barrier Artifact,プロテクトアーティファクト,守御的创造物,守御的创造物
Skill/S_Ralmia_9_2_Description,Text,,공격력의 1.5배만큼 채력을 회복합니다.,Restore health by atk * 1.5.,体力を150%ATK回復させる。,超额恢复自己%a(150%)点体力值。,超额恢复自己%a(150%)点体力值。
Skill/S_Ralmia_9_2_Name,Text,,척결의 아티팩트,Keenedge Artifact,エッジアーティファクト,锋锐的创造物,锋锐的创造物
Skill/S_Ralmia_9_3_Description,Text,,이 스킬은 두 번 사용됩니다.,This skill will cast twice.,スキルがもう一度発動する。,重复触发1次。,重复触发1次。
Skill/S_Ralmia_9_3_Name,Text,,공습의 아티팩트,Airstrike Artifact,ブリッツアーティファクト,迅袭的创造物,迅袭的创造物
Skill/S_Ralmia_9_Description,Text,,"선택
-분석의 아티팩트
-고대의 아티팩트
-빛의 아티팩트
-패러다임 전환

선택한 스킬 하나를 손에 생성합니다.","Choose: Put 1 of the following skills into your hand.
-Analyzing Artifact
-Ancient Artifact
-Radiant Artifact
-Paradigm Shift","·アナライズアーティファクト
·エンシェントアーティファクト
·レディアントアーティファクト
·パラダイムシフト
チョイスしたスキル1個を手札に加える。",选择 - 从[解析的创造物] [古老的创造物] [绚烂的创造物] [典范转移] 中选1张加入手牌。,选择 - 从[解析的创造物] [古老的创造物] [绚烂的创造物] [典范转移] 中选1张加入手牌。
Skill/S_Ralmia_9_Name,Text,,아티팩트 공명,Syntonization,アーティファクトの同調,创造物的同步,创造物的同步
Skill/S_Ralmia_LucyD_Description,Text,,"버려진 스킬 중 2개를 선택하여 손으로 가져옵니다.
아티팩트를 선택했다면 비용이 0이 됩니다.","View the discard pile, and select two skills to add to your hand.
If skill is Artifact, reduce that skill's cost to 0.","捨てられたデッキを確認し、スキルを2個選択して手札に加える。
このスキルはアーティファクト·スキルの場合、そのスキルのコストが0になる。","从弃牌堆中选择2个技能到手牌。
如果选择的是<color=#97FFFF>创造物</color>技能，使其费用变为0。","从弃牌堆中选择2个技能到手牌。
如果选择的是<color=#97FFFF>创造物</color>技能，使其费用变为0。"
Skill/S_Ralmia_LucyD_Name,Text,,아티팩트 스캔,Artifact Scan,アーティファクトスキャン,创造物的扫描,创造物的扫描
Skill/S_Ralmia_P_Description,Text,,스킬 하나를 선택하여 신속을 부여합니다.,Select a skill in hand to gain Swiftness.,スキルを選択してそのスキルに「迅速」を与え。,使目标技能获得迅速。,使目标技能获得迅速。
Skill/S_Ralmia_P_Name,Text,,음속 돌파,Supersonic Breakthrough,音速の突破,突破音速,突破音速
SkillExtended/SkillEn_Ralmia_0_Des,Text,,,,,,
SkillExtended/SkillEn_Ralmia_0_EnforceString,Text,,,,,,
SkillExtended/SkillEn_Ralmia_0_Name,Text,,패러다임 전환,Artifact,アーティファクト,创造物,创造物
SkillExtended/SkillEn_Ralmia_1_Des,Text,,"패에 있는 아티팩트를 선택하고,그 스킬의 비용을 1 감소시킵니다.",,,,
SkillExtended/SkillEn_Ralmia_1_EnforceString,Text,,,,,,
SkillExtended/SkillEn_Ralmia_1_Name,Text,,생명 양산,,,生命量产,生命量产
SkillKeyword/KeyWord_Artifact_Desc,Text,,고대의 주인이 만든 특별한 유물,Artifact created by ancient gods.,大昔の神が作り出した神器。,远古的神创造出的神器。,远古的神创造出的神器。
SkillKeyword/KeyWord_Artifact_Name,Text,,아티팩트,Artifact,アーティファクト,<color=#97FFFF>创造物</color>,<color=#97FFFF>创造物</color>
